,ID,ROA,ROE,Operating gross profit margin,cash flow,Debt ratio,Total asset turnover,After-tax net profit growth rate,Growth_CLass
314,2383,14.08,24.89,25.88,"1,660,283",39.85,1.02,13.83,2
315,2385,7.63,17.36,18.7,"4,854,578",56.69,1.29,-3.45,1
316,2387,7.63,18.44,15.76,"-370,619",61.93,1.12,458.3,3
317,2388,34.77,66.22,31.61,"-4,356,725",42.66,0.47,5283.45,3
318,2390,7.15,8.98,17.61,"-323,774",19.71,0.19,208.15,3
319,2392,2.75,7.35,10.91,"-5,530,976",63.43,1.15,5.43,1
320,2393,4.65,7.75,25.04,"1,131,432",40.73,0.74,46.79,2
321,2395,14.93,21.46,39.9,"5,089,289",30.19,1.05,-1.22,1
322,2397,5.38,8.66,25.26,"836,113",37.73,1.0,-23.26,1
323,2399,5.0,6.66,12.04,"-267,985",23.46,0.71,217.4,3
324,2401,5.18,6.38,45.6,"459,431",20.61,0.53,254.12,3
325,2402,1.79,2.77,13.53,"483,707",39.71,0.61,-47.0,0
326,2404,15.87,42.13,15.86,"2,679,437",62.47,1.43,41.38,2
327,2405,1.99,2.42,37.31,"120,119",13.17,0.42,686.54,3
328,2406,-3.26,-9.01,12.88,"1,374,135",62.62,0.64,-1928.19,0
329,2408,3.46,3.74,25.72,"6,285,474",7.14,0.37,-21.77,1
330,2409,1.43,3.02,8.4,"5,397,021",52.42,0.67,113.46,3
331,2412,7.29,9.25,34.0,"67,685,864",23.13,0.42,2.79,1
332,2413,0.68,2.01,15.24,"-824,788",65.54,0.81,92.77,3
333,2414,5.11,11.42,8.01,"418,293",54.8,3.03,23.66,2
334,2415,-0.41,-1.05,24.56,"-137,267",62.79,0.37,5.81,1
335,2417,25.0,33.0,53.76,"-31,061",28.49,1.1,4045.27,3
336,2419,3.24,6.54,20.94,"1,084,961",55.54,0.91,14.93,2
337,2420,7.61,13.67,37.24,"351,689",41.6,0.43,-8.91,1
338,2421,8.73,19.66,23.46,"521,146",55.91,1.29,25.1,2
339,2423,6.01,8.77,48.35,"406,602",36.92,0.68,-36.15,0
340,2424,-23.61,-74.66,-625.74,"-64,189",77.87,0.03,-29.8,0
341,2425,9.25,13.4,9.35,"188,725",33.59,1.77,42.54,2
342,2426,5.24,8.5,14.85,"261,650",36.44,0.39,47.05,2
343,2427,2.21,4.47,32.59,"94,922",49.47,0.68,-0.35,1
344,2428,14.84,21.03,45.85,"76,158",32.51,0.6,23.79,2
345,2429,-7.6,-23.19,8.56,"-38,358",67.65,0.99,47.12,2
346,2430,2.12,6.1,15.59,"1,034,694",65.74,1.44,45.62,2
347,2431,2.68,4.49,12.65,"-106,746",40.08,1.02,427.22,3
348,2433,7.37,12.24,31.62,"535,215",39.33,0.51,-9.27,1
349,2434,0.09,0.23,8.1,"-187,948",39.2,0.22,97.38,3
350,2436,11.28,14.86,25.43,"222,508",26.04,0.65,4.72,1
351,2438,2.04,2.39,19.83,"73,009",13.16,0.39,139.68,3
352,2439,1.28,3.03,12.54,"3,954,798",64.07,1.15,-47.87,0
353,2440,9.34,18.35,8.99,"-519,669",42.42,1.32,695.98,3
354,2441,12.91,15.3,25.91,"1,287,389",16.42,0.72,40.42,2
355,2442,0.98,2.88,15.56,"-60,047",65.84,0.42,-66.0,0
356,2443,-37.11,-57.1,-15.75,"-346,402",42.19,0.42,-63.13,0
357,2444,-5.48,-10.75,14.37,"-19,449",53.75,0.99,-255.98,0
358,2449,9.16,19.19,27.47,"-491,978",52.17,0.5,19.58,2
359,2450,4.34,7.45,11.43,"980,640",41.75,2.67,6.32,1
360,2451,5.77,6.35,21.58,"2,557,918",9.96,0.55,-30.73,0
361,2453,4.23,9.81,22.77,"72,930",55.83,1.34,33.54,2
362,2454,14.62,21.05,43.94,"33,907,209",29.75,0.65,78.58,3
363,2455,12.31,18.6,42.13,"444,552",32.81,0.61,3.55,1
364,2456,3.44,5.75,26.76,"-1,266,884",39.15,0.42,34.18,2
365,2457,-1.7,-3.51,12.74,"772,719",54.21,0.93,-305.2,0
366,2458,24.59,37.44,46.72,"1,559,192",35.84,1.18,29.55,2
367,2459,6.04,10.94,20.4,"216,370",44.66,0.74,1.81,1
368,2460,-0.95,-2.33,10.89,"-44,363",58.58,0.64,77.82,3
369,2461,2.62,5.35,23.24,"-417,172",50.17,0.74,220.43,3
370,2462,2.91,5.43,10.43,"327,036",47.11,0.94,-6.75,1
371,2464,4.62,12.8,21.14,"-534,232",63.34,0.79,-24.69,1
372,2465,2.01,10.13,12.37,"4,172",81.02,3.0,200.65,3
373,2466,-1.99,-4.92,11.79,"141,752",59.6,0.3,-76.87,0
374,2467,6.22,15.35,37.87,"601,797",60.26,0.62,40.43,2
375,2468,1.8,3.05,10.28,"64,959",41.72,1.12,-15.59,1
376,2471,7.33,12.26,39.06,"80,202",40.76,0.61,21.88,2
377,2472,9.2,15.51,28.69,"-641,727",35.98,0.72,65.62,2
378,2474,7.6,12.37,26.57,"16,662,989",38.23,0.33,87.35,3
379,2476,4.76,7.25,28.14,"178,663",35.64,0.6,-6.06,1
380,2477,1.15,2.69,22.27,"-136,512",65.75,0.38,-57.85,0
381,2478,8.45,12.75,24.05,"59,077",35.84,0.64,70.56,2
382,2480,9.3,17.94,24.85,"455,544",50.74,1.02,11.45,1
383,2481,7.53,18.34,23.34,"-858,992",59.19,0.63,79.03,3
384,2482,-3.05,-4.72,39.02,"14,202",35.94,0.7,-229.04,0
385,2483,2.53,4.0,21.11,"-309,355",38.75,0.47,-47.47,0
386,2484,8.23,11.55,20.55,"30,443",31.74,0.61,33.34,2
387,2485,-1.64,-2.14,3.42,"-28,643",25.58,0.93,-22.28,1
388,2486,-2.28,-4.63,12.41,"-1,067,099",52.21,0.7,15.6,2
389,2488,5.34,8.21,22.36,"191,034",37.71,0.6,-35.49,0
390,2489,2.94,4.35,7.99,"9,207",34.39,0.92,3303.06,3
391,2491,10.2,11.28,59.95,"26,854",8.06,0.19,-80.04,0
392,2492,11.04,19.1,31.58,"-2,160,074",44.38,0.5,1.93,1
393,2493,8.27,12.34,26.45,"277,589",35.49,0.74,35.12,2
394,2495,-1.41,-1.78,43.53,"160,003",22.56,0.22,-132.29,0
395,2496,4.63,7.96,47.91,"54,363",35.78,0.56,-18.27,1
396,2497,-3.78,-7.77,23.23,"-20,691",53.14,0.57,-13124.01,0
397,2498,-10.65,-16.04,26.95,"-1,139,954",33.53,0.12,36.02,2
398,2501,2.23,5.05,22.61,"909,820",57.31,0.25,8.31,1
399,2504,6.55,10.99,16.6,"1,192,506",38.58,0.53,115.08,3
400,2505,27.68,61.46,38.7,"4,809,895",54.25,0.73,8589.12,3
401,2506,0.3,0.53,30.74,"-935,976",40.56,0.19,170.0,3
402,2509,1.66,2.83,41.36,"343,260",38.14,0.16,-47.48,0
403,2511,2.04,4.5,18.53,"937,775",53.18,0.22,-22.29,1
404,2514,5.4,12.8,7.24,"1,719,707",60.65,0.5,27.18,2
405,2515,1.64,3.46,7.02,"1,976,340",51.52,0.32,94.53,3
406,2516,-10.8,-35.15,-10.68,"237,578",70.94,0.93,-2241.08,0
407,2520,6.89,24.55,26.0,"1,667,558",69.73,0.48,152.56,3
408,2524,4.92,12.0,34.42,"792,413",54.72,0.25,1.71,1
409,2527,1.68,3.52,31.03,"1,132,904",51.32,0.2,-48.46,0
410,2528,-2.0,-6.29,14.13,"-675,343",69.55,0.11,-123.32,0
411,2530,-1.37,-1.94,29.1,"-3,086,767",25.84,0.01,-27.06,0
412,2534,1.65,3.89,44.23,"2,698,565",61.5,0.09,-54.4,0
413,2535,5.82,13.66,11.88,"247,398",57.73,0.82,79.55,3
414,2536,2.82,5.08,24.6,"3,497,773",48.37,0.18,1.03,1
415,2537,1.67,4.47,23.33,"207,763",67.06,0.14,166.74,3
416,2538,-0.92,-2.74,31.8,"348,417",67.89,0.02,56.85,2
417,2539,5.17,10.96,32.66,"-1,520,432",57.19,0.29,-44.77,0
418,2540,6.36,18.81,42.79,"-154,576",66.64,0.34,347.73,3
419,2542,1.72,8.05,28.01,"6,809,215",80.2,0.15,-19.08,1
420,2543,0.58,2.13,2.75,"47,985",73.17,0.82,154.18,3
421,2545,4.27,16.25,44.45,"153,657",72.49,0.16,12081.94,3
422,2546,7.3,22.24,7.49,"287,383",67.46,1.6,55.69,2
423,2547,1.19,5.47,40.0,"-4,273",78.45,0.12,43.09,2
424,2548,7.68,16.19,33.53,"1,520,638",51.58,0.31,-11.76,1
425,2597,9.29,19.61,13.55,"651,004",52.65,1.25,48.6,2
426,2601,-1.24,-3.66,56.19,"3,409,467",66.73,0.17,-119.22,0
427,2603,8.24,30.16,21.97,"9,501,330",69.63,0.65,12999.39,3
428,2605,-3.03,-4.16,22.14,"920,171",26.04,0.18,58.5,2
429,2606,-3.36,-8.25,11.0,"5,333,228",61.78,0.14,-45.83,0
430,2607,2.84,4.31,14.22,"1,081,877",33.42,0.2,-19.25,1
431,2608,7.1,14.72,21.63,"1,369,738",50.05,0.57,11.63,2
432,2609,7.07,51.05,17.24,"8,890,224",81.36,0.78,404.83,3
433,2610,0.2,0.97,8.87,"-5,302,586",78.64,0.4,58.55,2
434,2611,1.31,2.22,7.55,"-637,099",39.84,0.13,49.25,2
435,2612,-0.13,-0.27,17.5,"422,625",49.96,0.16,1.6,1
436,2613,0.71,2.64,11.56,"156,097",72.47,0.25,-13.02,1
437,2614,2.85,6.73,30.56,"1,698,215",58.42,0.3,30.94,2
438,2615,9.79,23.87,21.47,"4,164,397",59.32,0.83,216.57,3
439,2616,13.9,27.83,10.93,"436,694",47.47,1.68,9.19,1
440,2617,5.5,8.33,23.88,"507,400",35.53,0.16,-13.8,1
441,2618,0.22,0.96,9.61,"-3,181,428",76.74,0.26,-167.54,0
442,2630,0.95,2.61,4.9,"387,233",62.69,0.87,-5.83,1
443,2633,1.34,8.25,33.32,"17,865,890",83.61,0.09,-27.03,0
444,2634,0.8,2.52,6.66,"4,265,028",68.28,0.47,-78.88,0
445,2636,11.86,27.88,16.28,"-11,452",57.18,2.2,136.46,3
446,2637,-3.1,-9.41,13.88,"-792,074",67.85,0.14,-94.93,0
447,2642,9.96,19.9,17.2,"408,467",48.33,1.07,29.33,2
448,2701,-1.01,-1.17,63.6,"156,955",14.21,0.03,-56.42,0
449,2702,-4.46,-29.08,69.26,"-260,952",86.32,0.1,-5661.06,0
450,2704,3.87,4.51,23.26,"-129,016",15.92,0.16,-99.15,0
451,2705,-3.15,-25.84,16.21,"-1,665,968",89.16,0.13,31.49,2
452,2706,-1.08,-1.25,72.72,"191,069",13.97,0.02,-69.79,0
453,2707,5.67,17.53,28.22,"1,634,534",66.68,0.49,-47.08,0
454,2712,6.54,7.93,39.02,587,14.68,0.38,709.55,3
455,2722,5.97,7.98,44.44,"51,224",23.26,0.29,135.28,3
456,2723,4.53,9.7,59.46,"2,276,254",51.88,0.88,6.83,1
457,2727,2.21,6.84,46.25,"2,156,652",69.16,1.17,-26.67,1
458,2731,-6.12,-22.8,16.02,"-1,043,003",71.59,0.88,-271.59,0
459,2739,-1.71,-15.3,21.36,"829,944",89.74,0.19,-384.93,0
460,2748,2.54,8.44,24.35,"896,705",68.89,0.42,-40.69,0
471,2841,-4.96,-9.69,61.45,"73,659",50.31,0.01,-714.01,0
477,2855,3.91,14.54,88.99,"3,735,613",74.08,0.09,52.27,2
493,2901,1.49,1.71,84.85,"32,899",12.96,0.11,-56.94,0
494,2903,1.63,5.38,50.17,"4,053,849",69.02,0.29,18.24,2
495,2904,10.02,15.03,47.12,"142,301",36.6,0.35,18.4,2
496,2905,-0.03,-0.91,17.21,"-45,357,257",96.57,0.15,-61.52,0
497,2906,2.09,3.58,25.85,"656,469",41.1,0.72,14.02,2
498,2908,1.93,10.71,25.51,"3,786,080",81.99,1.14,623.65,3
499,2910,1.78,4.72,65.73,"23,783",62.25,0.09,2.12,1
500,2911,-6.17,-13.44,44.16,"288,561",55.06,0.78,22.73,2
501,2912,5.05,22.67,34.07,"23,854,248",78.53,1.28,-6.37,1
502,2913,0.11,0.18,39.98,"-109,901",37.08,0.01,88.11,3
503,2915,25.02,34.07,35.66,"15,379,764",24.77,0.02,-11.92,1
504,2923,2.69,5.92,41.15,"-561,298",53.52,0.11,-85.67,0
505,2929,-30.92,-46.86,-48.34,"102,131",39.85,0.4,-295.76,0
506,2936,1.19,2.64,30.77,"590,958",50.96,1.79,441.06,3
507,2939,0.34,0.43,27.83,"422,886",25.32,1.15,-98.69,0
508,3002,0.63,0.86,24.87,"72,875",27.45,0.43,-16.62,1
509,3003,6.8,9.65,31.75,"244,345",29.55,0.5,-14.44,1
510,3004,1.43,3.53,19.13,"-30,364",57.33,0.36,-82.95,0
511,3005,8.58,15.95,27.94,"2,041,762",46.85,0.86,12.61,2
512,3006,9.36,14.21,17.35,"549,266",37.47,1.3,114.48,3
513,3008,15.38,18.71,66.97,"18,417,476",17.79,0.34,-13.19,1
514,3010,6.61,17.16,8.13,"1,043,591",61.53,1.61,31.24,2
515,3011,-5.0,-8.95,8.75,"5,936",47.43,0.73,-2.45,1
516,3013,1.99,3.97,9.09,"-164,277",50.44,1.24,-48.94,0
517,3014,21.92,29.35,51.02,"617,531",25.87,0.81,73.86,2
518,3015,16.37,27.19,13.97,"279,604",37.7,0.87,380.19,3
519,3016,0.23,0.34,6.04,"95,529",32.19,0.67,145.21,3
